"","logFC.populationSTDI","logFC.populationSTGL2","logFC.populationSTGL3","logFC.populationSTIN","logFC.populationSTPO1","logFC.populationSTTO.BH","logCPM","LR","PValue","FDR"
"Sdiv_ptg000013l_1278-R",-1.63943178068904,-6.74257610769805,-14.4212596552732,-12.3130849148569,-9.27671448223,-1.35511669374234,6.79448276192165,2662.26056801408,0,0
"Sdiv_ptg000007l_1621-R",0.316741726301458,-4.58255881838954,-7.52859953551239,-6.3828522632524,-4.33742755025138,0.0827229880072427,5.87622488635446,1460.543406913,1.87999741751519e-312,3.8169587567811e-308
"Sdiv_ptg000014l_1999-R",1.36622730903535,-4.29418411179517,-6.37490564298149,-9.71071959469816,-2.62829789999704,-0.0912126327935758,6.65812725683746,1252.98814834193,1.62656344362022e-267,2.20160783972142e-263
"Sdiv_ptg000007l_0022-R",9.28893371389845,4.43355185232899,-0.632553677231453,0.586540324262558,9.43767051056822,7.68721941218077,5.95223972826313,1246.59188125678,3.94243492138971e-266,4.00216281044876e-262
"Sdiv_ptg000005l_1361-R",6.67160092440724,0.651003857676704,-5.61193206464093,-5.61193206464093,-5.61193206464093,2.08769913964758,4.49971360102966,1134.47892336055,7.22879658862755e-242,5.8706502855562e-238
"Sdiv_ptg000013l_0916-R",-0.430527836172439,-6.44915875476182,-10.5885528676404,-12.263872831131,-6.72867920707802,-3.1092330955601,5.03424003784255,1009.35845484775,8.45898644314612e-215,5.72476005850652e-211
"Sdiv_ptg000015l_0074-R",0.696868507876204,-5.04209226547945,-11.5214149920405,-11.5214149920405,-0.00190876400494379,-0.470508272850321,5.40560531553057,995.965299794814,6.66846236852265e-212,3.86827975623187e-208
"Sdiv_ptg000790l_0005-R",2.5426196541502,1.0727034446742,-1.52194720521351,-1.90847277007125,9.28329810257262,1.99613069559108,5.95554262370603,967.729473948387,8.51976854198098e-206,4.324421517696e-202
"Sdiv_ptg000003l_1377-R",-2.85608125481159,3.82370661473693,4.40227250430794,1.99264585298656,7.34706206774728,8.9445491113961,5.3193518301133,938.474020511463,1.80534964355152e-199,8.14533640289476e-196
"Sdiv_ptg000008l_0176-R",2.97660055924936,-2.25151624290869,-1.83181625791236,-3.23311233182307,-5.36449361105129,1.99822863795539,7.35668040898886,907.04262216422,1.12791865471913e-192,4.58002648935252e-189
"Sdiv_ptg000003l_1810-R",-5.2799058713449,0.839225829739815,-0.758376046395218,-0.357637308563416,-8.36622361051894,-6.47331965158748,8.27231110467623,900.232355313329,3.34639166832814e-191,1.23530527349211e-187
"Sdiv_ptg000010l_2874-R",-2.70145518270604,-6.32378093300539,-10.071580788008,-12.4987876581291,-3.30741854548153,-4.66228397008243,4.65365159329394,879.568899643084,9.80539255228461e-187,3.31798141648391e-183
"Sdiv_ptg000012l_0378-R",2.28286229405215,-2.51806493924559,1.40211867670062,-6.51218765764754,2.21957407958056,1.6487778983955,8.08189451843806,864.508658067208,1.76517700629232e-183,5.51359827057738e-180
"Sdiv_ptg000022l_0248-R",-2.32035408569182,-4.31380868626886,-7.07191967680801,-10.1068666750612,2.52394234361683,-7.32436229391174,7.65191003414211,854.751154876049,2.26864632060813e-181,6.58004660675811e-178
"Sdiv_ptg000010l_1007-R",1.88631000043586,-3.49066409982097,-8.45377919490447,-5.36458778238368,-2.10300472836082,-1.11874633223805,8.90251017056598,853.007521565735,5.40284415958815e-181,1.46258593296157e-177
"Sdiv_ptg000008l_0573-R",1.93466601515145,-3.20249096056862,-7.8802415015276,-4.32580333543699,-2.40708042429264,0.330753352248351,8.53676540465943,849.810367398091,2.65229384686665e-180,6.73119024661671e-177
"Sdiv_ptg000004l_1791-R",-6.43299515953264,-0.741081645709816,-1.59944215874658,-0.210130832820019,-10.1382730891731,-8.11477270606074,5.75353704647173,842.688811789832,9.17815674725299e-179,2.19228372281738e-175
"Sdiv_ptg000022l_1871-R",0.575255264913079,-5.49669521784212,-10.7740244738061,-10.7740244738061,0.897171708196227,-0.252549068219745,4.89010946158525,836.027303300011,2.52584415788413e-177,5.69802377083571e-174
